id,level,dom_fr,ch,ch_fr,les,les_fr,notion_ar,comp,extype,diff,ambig,score,steps,nnot,nsub,nprop,statut,dup,src,src_type,src_num,nchars,why,body
7M-CH01-L02-EX003,7e,Nombres,CH01,Arithmétique et dénombrement,L02,Critères de divisibilité,قابلية القسمة,"Utiliser un algorithme, un procédé ou une technique de calcul",Application indirecte,BASIQUE,True,1,3,1,3,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Synthese-N-1-Math-7eme-2017-2018-Mr-ZOUARI-SAMI.pdf,SYNTHESE,1,195,une seule notion principale mobilisée; plusieurs étapes (3 sous-questions),: 1 ( عوض كل نقطه بالرقم المناسب ليكون العدد . 5 . 2 قابلا القسمه علي4 و9 ( ) ذكر جميع الحلول 2 ( عوض كل نقطه بالرقم المناسب ليكون العدد . . 765 قابلا القسمه علي25 باو قي قسمته علي 4 يساوي2 . 3 :
7M-CH01-L02-EX004,7e,Nombres,CH01,Arithmétique et dénombrement,L02,Critères de divisibilité,قابلية القسمة,"Utiliser un algorithme, un procédé ou une technique de calcul",Application directe,BASIQUE,False,0,1,1,1,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/parascolaire/collection-pilote-7eme-ed2.pdf,CORRIGE,1,143,une seule notion principale mobilisée; procédure courte (1 sous-question(s)),:6) اذكر من بين الاعداد التاليه تلك التي تقبل القسمه علي 25: 5 575 0 ، 69456، 254545 4975 2) ما هو باقي قسمه كل عدد من الاعداد السابقه علي 25 ؟
7M-CH01-L02-EX005,7e,Nombres,CH01,Arithmétique et dénombrement,L02,Critères de divisibilité,قابلية القسمة,"Utiliser un algorithme, un procédé ou une technique de calcul",Raisonnement,MOYEN,False,2,4,1,4,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/parascolaire/collection-pilote-7eme-ed2.pdf,CORRIGE,24,181,une seule notion principale mobilisée; plusieurs étapes (4 sous-questions); exige une justification (prouver),: دون انجاز عمليه قسمه اثبت ان : ا- العدد 5782302 يقبل القسمه علي 6 . ب- العدد 365112 يقبل القسمه علي12 . ج - العدد 847590 يقبل القسمه علي 15 . د- العدد 5879520 يقبل القسمه علي 45 .
7M-CH01-L03-EX001,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Raisonnement,MOYEN,False,2,4,1,4,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/corrections/Devoir-Corrige-de-Synthese-N-1-1er-Semestre-Math-7eme-2018-2019-Mr-Saem-Mongi.pdf,CORRIGE,3,251,une seule notion principale mobilisée; plusieurs étapes (4 sous-questions); exige une justification (deduire),د *** ثالثه نقاط 1. فكك ا لي جذاء عوامل 2x5x7x13 = 910 و2x5x13 = 130 2. . احسب 2x5x13=130 = ق م ا (130 . 910) 3. اختزل الي اقصي حد العدد الكسري 130 910= 1 7 ثم اوجد مقلوبه بعد االختزال مقلوبه 1 7 7 4. استنتج ان 910 130 عدد عشري الن 910 130= 7 عدد عشري
7M-CH01-L03-EX002,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Raisonnement,MOYEN,False,3,5,1,5,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/corrections/Devoir-de-Synthese-N-1-Avec-correction-1er-Semestre-Math-7eme-2018-2019-Mr-Saem-Mongi-2.pdf,SYNTHESE,3,187,une seule notion principale mobilisée; enchaînement long (5 sous-questions); exige une justification (deduire),د *** ثلاثه نقاط 1. فكك الي جذاء عوامل 2. احسب 3. اختزل الي اقصي حد العدد الكسري 910 ..= 910 و .. .=130 ...=ق م ا (130.910) تم اوجد مقلوبه بعد الاختزال 910 4. استنتج ان عدد عشري... 130 5.
7M-CH01-L03-EX003,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Application indirecte,BASIQUE,True,1,3,1,3,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Controle-N-1-Math-7eme-2015-2016-Mr-bouchriha-khaled.pdf,CONTROLE,3,162,une seule notion principale mobilisée; plusieurs étapes (3 sous-questions),دد : (3 نقاط) ا) انشر العبارات التاليه ثم احسب : e = 45x (12+3) 0.5 0.5 0.75 y = 25x13-75 ب) فكك الي جذاء عوامل : x = (12x47) +(12x14) 0.5 0.75 0.5 1.5 الرسم 0.75
7M-CH01-L03-EX004,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Raisonnement,MOYEN,False,2,4,1,4,0,VARIANTE,VARIANTE,7eme/mathematiques/devoirs/Devoir-de-Controle-N-2-Math-7eme-2017-2018-Mr-Mme-Allani.pdf,CONTROLE,6,268,une seule notion principale mobilisée; plusieurs étapes (4 sous-questions); exige une justification (deduire),) 2 نقاط ) 1) اكمل العدد 16 غير اولي لان العدد 1 غير اولي لان العدد 111 غير اولي لان 2) فكك الي جذاء عوامل اوليه 180 و 160000 ثم استنتج ان العدد 160000 مربع لعدد حدده ج- 4 3) اذكر القواسم الاوليه لكل من 180 و 160000 4) استنتج تفكيكا الي جذاء عوامل اوليه 180 x 160000 j
7M-CH01-L03-EX005,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Raisonnement,MOYEN,False,2,4,1,4,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Controle-N-2-Math-7eme-2017-2018-Mr-Mme-Allani.pdf,CONTROLE,6,269,une seule notion principale mobilisée; plusieurs étapes (4 sous-questions); exige une justification (deduire),) 2 نقاط ) 1) اكمل العدد 77 غير اولي لان العدد 1 غير اولي لان العدد 25 غير اولي لان 2) فككها الي جذاء عوامل اوليه 150 و 250000 ثم استنتج ان العدد 250000 مربع لعدد حدده ج- 8 3) اذكر القواسم الاوليه لكل من 150 و 250000 4) استنتج تفكيكا الي جذاء عوامل اوليه ل 150 x 250000
7M-CH01-L03-EX006,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Démonstration,DIFFICILE,False,4,5,1,5,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Controle-N-3-Math-7eme-2012-2013-Mr-Mouajria-Hattab.pdf,CONTROLE,1,393,une seule notion principale mobilisée; enchaînement long (5 sous-questions); raisonnement développé : deduire + justifier,: ) 4 ( نقاط عل ل لماذا العدد 327 غ& او لي 1( عل ل لماذا العددان 2012 و2014 ليسوا اولي ان في/ بينه/ 2( هل ان صوره مثل ث قايم بالتناظر المحوري هي مثل ث قايم ؟ علل اجابتك . 3( هل ان مجموع عددان اولي ان هو عدد او لي ؟ علل اجابتك . 5( التمرين الثا ) : g3 ( نقاط اكتب العدد 900 في صيغه ل قوه عدد صحيح طبيعي 1( فكك العدد30 الي جذاء عوامل اوليه 2( استنتج تفكيكا الي جذاء عوامل اوليه للعدد 900 . 3( 30
7M-CH01-L03-EX007,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Raisonnement,MOYEN,False,3,6,1,6,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Controle-N-3-Math-7eme-2012-2013-Mr-ZOUARI-SAMI.pdf,CONTROLE,2,376,une seule notion principale mobilisée; enchaînement long (6 sous-questions); exige une justification (deduire),": 1 - 1) عوض النقاط بالارقام المناسبه ليكون العدد • • 3 - 2 قابلا للقسمه علي 25 و 9 . (جميع الحلول) 2) عوض النقطه بالرقم المناسب ليكون العدد . 352 قابلا للقسمه علي 4 . (جميع الحلول) 1 - 11) فكك كل من العددين : 126 , 150 الي جذاء عوامل اوليه. 150 126 .. = 150 2) استنتج تفكيكا الي جذاء عوامل اوليه كل من : 15017 و 1262 x1504 . 126 = = 15017 1262 x1504 .. = tunisie collegttieos"
7M-CH01-L03-EX008,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Démonstration,MOYEN,False,3,3,1,3,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Controle-N-3-Math-7eme-2013-2014-Mme-allani.pdf,CONTROLE,35,189,une seule notion principale mobilisée; plusieurs étapes (3 sous-questions); raisonnement développé : deduire + justifier,نقاط ( (1 صنف االعدا د التاليه العداد اوليه او غير اوليه معلل ذلك 841 . 888 49 (2 فكك الي جذاء عوامل اوليه ثما اذكر القواسم االوليه لكل من144 و.8000 (3 استنتج ان العدد8000 هو مكعب لعدد حدده
7M-CH01-L03-EX009,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Démonstration,MOYEN,False,3,3,1,3,0,VARIANTE,VARIANTE,7eme/mathematiques/devoirs/Devoir-de-Controle-N-3-Math-7eme-2013-2014-Mme-allani.pdf,CONTROLE,35,185,une seule notion principale mobilisée; plusieurs étapes (3 sous-questions); raisonnement développé : deduire + justifier,نقاط ( (1 صنف االعداد التاليه العداد اوليه او غير اوليه معلل ذلك 202 48 19 (2 فكك الي جذاء عوامل اوليه ثما اذكر القواسم االوليه لكل من442 و.8000 (3 استنتج ان العدد8000 هو مكعب لعدد حدده
7M-CH01-L03-EX010,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Raisonnement,BASIQUE,False,1,2,1,2,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Controle-N-3-Math-7eme-2013-2014-Mr-ZOUARI-SAMI.pdf,CONTROLE,2,282,une seule notion principale mobilisée; procédure courte (2 sous-question(s)); exige une justification (deduire),": »"" ' عوامل اوليه : 480 $ 1) فكك كلا من العددين 675 675 .= 480 67513 = 480x675 =. = . . (480 , 675) dots m d4s0 = x = 675 الي جذاء عوامل اولي 110 2) استنتج تفكيكا لكل من 67513 480,675) . . « (3 ) . . dotsm d480 : « f (4 باستعمال جدول بيتاغي 1 5 » » dots= 1 2014 © tunisie collegtem"
7M-CH01-L03-EX011,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,Résoudre des problèmes / modéliser une situation,Situation-problème,DIFFICILE,False,5,6,2,6,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Controle-N-3-Math-7eme-2015-2016-Mr-Naceur-Imed.pdf,CONTROLE,4,581,deux notions combinées; enchaînement long (6 sous-questions); exige une justification (deduire); énoncé contextualisé nécessitant une modélisation,") : 1 نقاط) اجب صواب او خطا : ا-في مثلث abc كل نقطه من الموسط العمودي ل[bc] تبعد نفس البعد عن رووس المثلث. ب- م م ا ( 120 و 30 ) هو 30 . ج- عددان اوليان فيما بينهما لهما قاسم مشترك وحيد . د- التناظر يحافظ علي مساحات الاشكال . مرين 8) :2 نقاط) 1) فكك الي جذاء عوامل اوليه 288 و 140 . استنتج تفكيكا ل 288x140 . 2) احسب ق م ا ( 288 و 140 ) ثم م م ا ( 288 و 140 ). 3) يمكن تجميع تلاميذ مدرسه الي فرق ذات 45 تلميذ او فرق ذات 36 تلميذ. ابحث عن عدد التلاميذ اذا علمت ان هذا العدد محصور بين 700 و 800 . 4) رتب تصاعديا الاعداد العشريه 2,109 و 2,019 و 2,15 و 2,2 1 2015 * tunisie college.net"
7M-CH01-L03-EX012,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Démonstration,MOYEN,False,3,4,1,4,1,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Controle-N-3-Math-7eme-2015-2016-Mr-Riadh-Zairi.pdf,CONTROLE,2,288,une seule notion principale mobilisée; une propriété explicitement invoquée; plusieurs étapes (4 sous-questions); raisonnement développé : prouver + deduire,: (5نقاط) 1) فكك الي جذاء عوامل اوليه كل من العددين 400 و 225 400 225 .=400 =225 2) استنتج تفكيكا الي جذاء عوامل اوليه لكل من 400x 225 و 2253 ='225 400 x 225 = 3) بين ان العدد 225 هو مربع لعدد صحيح طبيعي تحدده 4) جد المجموعه d225 باستعمال جدول بيتاغور x d225 =1 2015 * tunisie college.net
7M-CH01-L03-EX013,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Démonstration,MOYEN,False,3,4,1,4,1,VARIANTE,VARIANTE,7eme/mathematiques/devoirs/Devoir-de-Controle-N-3-Math-7eme-2015-2016-Mr-Riadh-Zairi.pdf,CONTROLE,2,286,une seule notion principale mobilisée; une propriété explicitement invoquée; plusieurs étapes (4 sous-questions); raisonnement développé : prouver + deduire,: (5نقاط) 1) فكك الي جذاء عوامل اوليه كل من العددين 135 و 441 135 441 .=135 =441 2) استنتج تفكيكا الي جذاء عوامل اوليه لكل من 441x135 و '441 ... = 441 3) بين ان العدد 441 هو مربع لعدد صحيح طبيعي تحدده 441x135 =. 4) جد المجموعه d141 باستعمال جدول بيتاغور dai=1 2015 * tunisie college.net
7M-CH01-L03-EX014,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Raisonnement,MOYEN,False,3,7,1,7,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Controle-N-3-Math-7eme-2015-2016-Mr-ZOUARI-SAMI.pdf,CONTROLE,2,342,une seule notion principale mobilisée; enchaînement long (7 sous-questions); exige une justification (deduire),": 17 *** 1 ١) ضع في اطار الاعداد الاوليه من بين الاعداد التاليه. 98 الي جذاء عوامل اوليه . 1 (11) فكك كلا من العددين 18 a = 22 x18 2) استنتج تفكيكا الي جذاء عوامل اوليه كلا من الاعداد التاليه : . d = 9810 x187 c = 9800000 b = 98x32 (18 ; 98) . (18 ; 98) .m,sn misn : الي جذاء عوامل اوليه .ثم استنتج قيس طول ضلع مربع مساحته تساوي xb 3) 4) 5) ل"
7M-CH01-L03-EX015,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Application directe,BASIQUE,False,0,2,1,2,0,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Controle-N-3-Math-7eme-2023-2024--2.pdf,CONTROLE,2,92,une seule notion principale mobilisée; procédure courte (2 sous-question(s)),: ( 4 نقاط ) 1) فكك الي جذاء عوامل اوكيه العدد 112. 2) جد قواسم العدد 112. التفكيك الحمودي ل
7M-CH01-L03-EX016,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Application directe,BASIQUE,False,0,2,1,2,0,DOUBLON_EXACT,DOUBLON_EXACT,7eme/mathematiques/devoirs/Devoir-de-Controle-N-3-Math-7eme-2023-2024-.pdf,CONTROLE,2,92,une seule notion principale mobilisée; procédure courte (2 sous-question(s)),: ( 4 نقاط ) 1) فكك الي جذاء عوامل اوكيه العدد 112. 2) جد قواسم العدد 112. التفكيك الحمودي ل
7M-CH01-L03-EX017,7e,Nombres,CH01,Arithmétique et dénombrement,L03,Nombres premiers et décomposition,الأعداد الأوّلية والتفكيك,"Utiliser un algorithme, un procédé ou une technique de calcul",Application indirecte,MOYEN,False,2,4,2,4,1,ORIGINAL_EXTRAIT,EXERCICE_DISTINCT,7eme/mathematiques/devoirs/Devoir-de-Controle-N-3-Math-7eme-2023-2024-4-.pdf,CONTROLE,2,339,deux notions combinées; une propriété explicitement invoquée; plusieurs étapes (4 sous-questions),": 1) افكك الي جذاء عوامل اوليه العدد 144. = م م ا (7,11) =م م ا (435675,25) ... =مم ا (79898731) 2) m (ا) = 144 → 144 2) من العامل الاولي: . قواسم هي : اي: 3) من العامل الاولي... قواسم هي: اي: 4) جدول بيتاغور لعمليه الضرب: .. والذي دليله:.. ..٠٠٠١٣٠٠٠٠٠ .. والذي دليله: . حصل علي: .. .. نتحصل علي: .. اذن: .. di4a f.. l1 tunisie college. %"
